,heading,content,keyword
0,人工神经网络学习拓扑学,了解神经网络如何学习仍然是机器学习研究的核心挑战之一。 从训练开始时的随机性开始，神经网络的权重以能够执行各种任务的方式发展，例如分类图像。在论文《Topology of Learning in Artificial Neural Networks》中，作者通过应用拓扑数据分析方法研究权重结构的出现。 他们在MNIST数据集上训练简单的前馈神经网络并监测权重的演变。当初始化为零时，权重遵循循环分支的轨迹，从而生成描述每层有效容量增长的树。当初始化为微小的随机值时，权重沿着二维表面平滑地演变。实验证明，这些学习表面上的自然坐标对应于重要的变异因素。,"[('权重', 0.42024940218409085), ('神经网络', 0.3579368273965909), ('初始化', 0.22992018222954547), ('学习', 0.1969472664855682), ('演变', 0.16201686582136363)]"
1,李飞飞句子级嵌入模型,在论文《Audio-Linguistic Embeddings for Spoken Sentences》中，作者提出了语音句子嵌入，它可以捕获声学和语言内容。现有工作大多是在字符、音素或单词级别上运行，本文方法则通过在句子级别建模语音来学习长期依赖性。作为音频语言多任务学习问题，本文的编码器 - 解码器模型同时从音频重建声学和自然语言特征。研究发现，口语句子嵌入在语音识别和情感识别任务上优于音素和词级基线。该论文的嵌入可以更好地模拟高级声学概念，同时保留语言内容。这项工作表明通用、多模态句子嵌入对口语理解的可行性。,"[('嵌入', 0.434247881884186), ('句子', 0.42386911205534883), ('声学', 0.31405248321), ('语音', 0.2949048934991861), ('音素', 0.26972308276744184)]"
2,谷歌AI将语音识别错误率降低29%,用于语音识别的基于注意力的序列到序列模型使用单个神经网络联合训练声学模型、语言模型（LM）和对准机制，并且仅需要并行的音频 - 文本对。因此，端到端模型的语言模型组件仅在转录的音频 - 文本对上训练，这导致性能降低，尤其是在罕见的单词上。虽然已经有各种各样的工作考虑将在纯文本数据上训练的外部LM纳入端到端框架，但没有一项考虑到模型所做的特征误差分布。在论文《A spelling correction model for end-to-end speech recognition》中，作者提出了一种利用纯文本数据的新方法，通过训练拼写校正（SC）模型来明确纠正这些错误。在LibriSpeech数据集上的实验证明了当直接校正顶级ASR假设时，所提出的模型导致WER相对于基线模型的相对改善18.6％，并且当使用外部LM进一步重新校正扩展的n-最佳列表时，相对改善29.0％ 。,"[('模型', 0.5148986170084033), ('LM', 0.30138069335042017), ('文本', 0.3006672468695798), ('校正', 0.23287156028218486), ('训练', 0.22350698045714285)]"
3,北京市已将2100多名号贩子信息录入各大医院人脸识别系统,北京市卫健委透露，北京市已将2100多名号贩子信息录入北京各大医院人脸识别系统。北京目前已有30余家医疗机构配备了人脸识别系统，重点医院将共享2017年以来，被公安机关处罚的2100余名号贩子的头像信息、身份证信息等。未来这些人一旦进入医院，系统就能立刻监控到这些号贩子。（北京日报）,"[('贩子', 0.58686363409125), ('2100', 0.4981153126208333), ('人脸识别', 0.4981153126208333), ('医院', 0.366425713579375), ('信息', 0.328366293298125)]"
4,保时捷在车间测试自动驾驶，将于2019年年中完成,据外媒报道，保时捷正在其车间测试自动驾驶，该测试项目是该公司与Startup Autobahn创新平台合作的一部分，计划将于2019年年中完成。（盖世汽车）,"[('外媒', 0.5692746429952381), ('测试项目', 0.5692746429952381), ('Startup', 0.5692746429952381), ('Autobahn', 0.5692746429952381), ('2019', 0.5692746429952381)]"
5,模型多合一:UC伯克利&BAIR等提出一组参数存储多个模型的方法,在论文《Superposition of many models into one》中，来自UC伯克利和BAIR等机构的研究者提出一种在一组参数中存储多个模型的方法。模型可以重叠共存，也可以单独检索。用神经网络进行的实验表明，大量模型可以有效地存储在单个参数实例中。此外，这些模型中的每一个都可以经历数千个训练步，而不会显著干扰叠加中的其他模型。这种方法可以被视为模型压缩的在线补充,"[('模型', 0.6808103936000001), ('可以', 0.2920932710133333), ('存储', 0.27613021847700003), ('参数', 0.23316414585533335), ('Superposition', 0.19924612504833333)]"
6,欧洲TR资本数亿元入股影谱科技,2月22日消息，TR Capital Group近日数亿元入股中国人工智能影像生产企业影谱科技。据悉，对影谱科技（Moviebook）的投资是该国际金融机构继IDG国际资本、创新工场、正心谷等母基金投资后，亚太区重要直投项目之一。TR Capital是由全球最大的银行间交易经纪商ICAP PLC旗下Link Asset & Securities和Tikehau联合创立的国际顶尖投资机构，专注投资二级私募股权的基金管理。影谱科技于2018年发布机器自动化生产视频内容引擎MAPE，首创Automatic Generated Content模式，提供继PGC、UGC后由人工智能技术带来的视频生产技术变革。从去年8月，影谱科技先后获得来自商汤、软银、中金、建银等机构的资本入股，资金总规模超过20亿元人民币。,"[('影谱', 0.4511233019962264), ('TR', 0.2255616509981132), ('Capital', 0.2255616509981132), ('科技', 0.22008583748716978), ('人工智能', 0.17845332821679247)]"
7,面部识别创企Kairos获400万美元融资，Melissa Doval担任新CEO,2 月 22 日消息，位于佛罗里达州迈阿密的面部识别初创公司 Kairos 宣布，它已经从个人投资者 E. Jay Saunders 那里获得了 400 万美元，后者是监管技术公司 Domus Semo Sancus 的董事长兼首席执行官。截至目前，该公司已融资 1700 万美元。据介绍，Melissa Doval 将担任 Kairos 新 CEO， Melissa Doval 表示，新资金将用于企业在人脸识别技术前沿的不断创新。Kairos 于 2012 年成立，并推出 API 平台，该平台利用计算机视觉和深度学习来识别视频、照片和现实世界中的人脸。（投中网）,"[('Kairos', 0.5123471786957142), ('Melissa', 0.34156478579714283), ('Doval', 0.34156478579714283), ('识别', 0.21848139544), ('万美元', 0.21106992974457142)]"
8,沃达丰西班牙公司成为全球首个通过5G手机实现5G标准通话运营商,沃达丰西班牙公司于2月20日成功利用即将投入商业运营的3GPP NSA（非独立组网）技术标准，将首批智能手机接入其在巴塞罗那市中心部署的5G网络，从而成为全球首个通过5G手机实现5G标准通话的运营商。2019年，沃达丰将在美国、韩国、日本等地建设5G网络。新一代移动通信技术传输速度达10Gb/秒，是4G网络100倍，命令响应速度控制在1毫秒，能耗减少约90%。（西班牙《国家报》）,"[('5G', 0.7839191805180328), ('沃达丰', 0.40299146686885245), ('网络', 0.30538414202213116), ('西班牙', 0.2180109071672131), ('20', 0.1959797951295082)]"
9,微软宣布在法国成立人工智能全球发展中心,2月22日消息，微软公司宣布，将依托位于巴黎近郊伊西莱穆利诺市的微软工程中心成立一个人工智能全球发展中心，旨在为微软的全球用户与合作伙伴提供人工智能解决方案等。微软公司当天说，这个人工智能全球发展中心已吸引了来自全球各地的100余名工程师。新成立的人工智能全球发展中心的使命是支持微软的用户进行数字化转型，通过人工智能提高效率和生产力。（新华社）,"[('人工智能', 0.8153471030594828), ('微软', 0.46683518941913793), ('全球', 0.422590211525), ('微软公司', 0.3859526707206897), ('中心', 0.33242098883172416)]"
10,英国利兹大学招募博士生，用AI改变健康医疗,2 月 22 日消息，英国利兹大学将招募博士生，建立一个新的博士培训中心（CDT），重点是癌症的早期发现、诊断、治疗和护理，旨在培养下一代人工智能医疗保健先驱，用AI改变健康医疗 。据介绍，研究人员将与包括利兹教学医院信托基金（LTHT）、英国国民健康服务（NHS）在内的主要国家合作伙伴合作。LTHT是欧洲最大的教学医院之一。它被称为癌症研究的主要中心，拥有世界着名的生物医学研究设施和领先的临床试验研究单位。,"[('LTHT', 0.35685873142985075), ('研究', 0.25813442447462687), ('癌症', 0.25634243799791046), ('教学', 0.22101201975492538), ('英国利兹大学', 0.19712732046865672)]"
11,AI采矿公司Goldspot Discoveries上市,2 月 22 日消息，AI 采矿公司 Goldspot Discoveries 宣布在多伦多证券交易所创业板上市，代码为 SPOT。据了解，这家总部位于蒙特利尔的公司仅有三年的历史，但已经获得了一些采矿业巨头的支持，其中包括美国全球投资者 (U.S. Global Investors) 首席执行官 Frank Holmes、矿业金融家 Triple Flag 和 Hochschild，以及 Integra Resources 和 Yamana Gold 作为早期客户。,"[('22', 0.2255616509981132), ('AI', 0.2255616509981132), ('Goldspot', 0.2255616509981132), ('Discoveries', 0.2255616509981132), ('SPOT', 0.2255616509981132)]"
12,首批1600多辆特斯拉Model 3抵达上海外高桥码头,2 月 22 日消息，运载着首批特斯拉 Model 3 的滚装船「晨蝶号（Morning Cindy）」已经抵达上海外高桥码头。从上海海关获悉，该批特斯拉共 1837 台进口特斯拉汽车，其中 1600 多台为首批登陆中国的 model 3 车型。（澎湃）,"[('特斯拉', 1.032216177571875), ('首批', 0.4163414173875), ('22', 0.373586484465625), ('Model', 0.373586484465625), ('晨蝶', 0.373586484465625)]"
13,LG将在今年积极扩展语音控制的智能家电业务,2月22日消息，LG宣布计划今年积极扩大其声控智能Thinq家电系列。该公司表示，计划在4月前将其家电产品销售地区从目前的6个国家增加到21个国家。此前，LG家电部门在2018年底创下了历史最高的营业利润。LG表示它希望进军这个市场，因为谷歌和亚马逊都在全球范围内扩大了AI扬声器的销售。它相信它的语音控制家电市场需求会同时增加。,"[('LG', 0.6291982896263157), ('家电', 0.24263283629263158), ('声控', 0.21563578490350876), ('22', 0.2097327632087719), ('Thinq', 0.2097327632087719)]"
14,苹果最早明年放弃英特尔处理器，转而用自己的ARM芯片,此前外界普遍预计，苹果最早将在2020年放弃英特尔处理器，转而采用自己的ARM芯片。据Axios报道，一些开发人员和英特尔高管预计最早明年苹果就会采取这一行动。尽管苹果公司尚未公开表态，但开发人员和英特尔高管已私下表示，他们预计苹果公司最早明年就会放弃英特尔处理器，转而采用自己的ARM芯片。,"[('英特尔', 0.7418059918031372), ('开发人员', 0.4820094015490196), ('ARM', 0.46881441187843137), ('高管', 0.46881441187843137), ('苹果公司', 0.4510895050666666)]"
15,亚马逊宣布将资助1000多所美国高中的计算机科学课程,尽管亚马逊公司已经放弃了在纽约市建第二总部的计划，但该公司最近对纽约市教育计划的投资仍将继续。2 月 21 日，亚马逊宣布将资助全美 50 个州和哥伦比亚特区的 1000 多所高中的计算机科学课程。这些课程将通过亚马逊的「未来工程师」（Future Engineer）项目资助，覆盖全美数万名学生。,"[('亚马逊', 0.7373353354744187), ('纽约市', 0.45458340776418604), ('全美', 0.39483867907534886), ('资助', 0.380026877627907), ('课程', 0.37529279882279076)]"
16,富国证券表示，未来5年人工智能芯片市场将实现大幅增长,富国证券近日表示，未来5年人工智能芯片市场将实现大幅增长。该公司分析师 Aaron Rakers 引述了知名市场分析公司 Gartner 的预测，后者称全球人工智能芯片的销售额将在 2023 年达到 343 亿美元，而去年这一数字为 42.7 亿美元，年增长率可达 52%。Gartner 相信，物联网、个人设备和数据中心对人工智能芯片的需求会不断增高。Aaron Rakers 表示：「在整体芯片行业中，定制化人工智能芯片具有长期重要性，而我们目前正处于早期阶段。」Aaron Rakers 补充表示，人工智能工作在未来会变得更加专业化，定制芯片市场因此会得到进一步扩大。,"[('芯片', 0.6508075555677109), ('人工智能', 0.5697606262343373), ('Aaron', 0.4321000302253012), ('Rakers', 0.4321000302253012), ('Gartner', 0.2880666868168675)]"
17,英国创企Senseon完成640万美元种子轮融资，用AI三角测量法解决网络安全威胁,2 月 22 日消息，英国初创公司 Senseon 已经筹集到 640 万美元的种子轮资金，该公司开创了一种名为「AI三角测量」的新方法，同时应用人工智能算法来监督、监控和捍卫组织的网络设备、端点和覆盖多个微服务的「调查机器人」。Senseon表示，本轮资金将用于继续扩大其业务。,"[('Senseon', 0.5692746429952381), ('22', 0.28463732149761906), ('640', 0.28463732149761906), ('AI', 0.28463732149761906), ('网络设备', 0.2814580026261905)]"
18,亚马逊高管公开表示，人工智能在医疗领域的应用终于超越了炒作,2 月 22 日消息，亚马逊高管 Kass-Hout公开表示，人工智能在医疗领域的应用终于超越了炒作。人工智能工具不会取代医生，而是帮助他们更好地完成工作。据了解，Taha Kass-Hout是前美国FDA（食品和药物管理局）首席健康信息官，2018年3月份加入亚马逊，来帮助亚马逊发展医疗保健业务。,"[('亚马逊', 0.6745833920297872), ('Kass', 0.5087135107617021), ('Hout', 0.5087135107617021), ('人工智能', 0.4024692083187234), ('22', 0.25435675538085106)]"
19,美国通信巨头Verizon2019年将在全球30个城市推出5G服务,2 月 22 日消息，美国通信巨头 Verizon 宣布计划在 2019 年底之前在全球 30 个城市推出 5G 服务。Verizon 公司首席执行官 Hans Vestberg 在与投资者会面时表示，「这将在速度和吞吐量方面完全不同于以往任何时候。」Verizon 的发言人证实，该公司尚未确定该服务将在哪些城市推出。,"[('Verizon', 0.8150977842886362), ('22', 0.2716992614295454), ('2019', 0.2716992614295454), ('30', 0.2716992614295454), ('5G', 0.2716992614295454)]"
